Estacion:, El Trapiche,Dpto: Antioquia,Latitud  :,5°,48',N
Año:, 2006,Mpio: Bolívar,Longitud:,76°,1',W
"",,Altitud:,1277,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
27,16.2 24.0 18.6,89.0,6.0 0.4 6.4,1.9
28,15.6 25.2 18.9,80.3,2.3 26.3 28.6,5.7
29,16.2 23.5 18.8,88.0,0.7 0.0 0.7,3.6
30,15.0 25.0 19.9,79.3,0.0 0.0 0.0,6.4
31,,,,
Total:,,,126.4 118.7 245.1,95.6
Promedio:,15.3 23.8 18.5,85.1,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Diciembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.2 25.8 19.4,78.7,0.0 0.0 0.0,3.1
2,15.4 24.0 18.0,89.7,1.4 0.4 1.8,2.7
3,15.6 24.4 18.8,82.7,0.0 0.0 0.0,3.9
4,14.8 25.0 18.3,83.7,11.7 10.0 21.7,4.3
5,16.3 24.8 18.7,86.3,1.6 43.9 45.5,2.8
6,16.0 23.8 18.8,87.7,0.7 9.2 9.9,0.5
7,15.2 22.1 17.6,90.0,0.3 0.0 0.3,0.0
8,15.2 24.6 18.7,85.7,7.6 0.0 7.6,3.8
9,15.6 20.8 16.9,96.7,4.7 0.4 5.1,0.1
10,14.5 23.6 18.5,84.3,0.0 0.0 0.0,4.9
11,15.8 24.8 19.8,83.7,2.4 5.3 7.7,4.0
12,14.9 20.2 17.6,89.0,5.4 0.0 5.4,0.2
13,15.4 23.2 17.8,84.7,0.2 5.1 5.3,1.7
14,15.7 24.0 18.5,86.0,0.4 9.5 9.9,4.0
15,14.4 25.0 18.6,84.3,0.0 0.0 0.0,3.4
16,16.2 23.2 18.7,82.3,0.0 0.0 0.0,2.4
17,15.0 24.6 19.6,80.3,0.5 0.0 0.5,4.3
18,15.5 24.6 19.2,86.0,0.6 2.4 3.0,4.3
19,15.6 25.8 18.6,83.3,6.2 12.8 19.0,5.8
20,16.0 22.6 17.1,97.3,5.9 1.8 7.7,0.3
21,15.2 21.2 18.1,88.3,0.0 0.0 0.0,0.5
22,14.8 24.2 18.1,86.0,0.0 0.0 0.0,3.2
23,15.0 23.8 19.0,84.7,0.0 0.0 0.0,3.2
24,15.8 25.4 19.4,82.0,0.4 0.0 0.4,5.6
25,15.2 24.5 18.9,82.7,0.0 16.8 16.8,4.0
26,15.0 23.0 18.3,86.0,4.7 0.0 4.7,2.5
27,15.6 23.8 18.8,85.7,0.3 0.0 0.3,2.8
28,16.0 24.8 20.6,79.0,0.0 0.0 0.0,4.0
29,14.8 27.0 21.4,76.3,0.0 0.0 0.0,9.7
30,14.4 26.8 20.6,74.3,0.0 0.0 0.0,8.2
31,15.8 25.0 19.6,80.7,5.3 0.0 5.3,2.9
Total:,,,60.3 117.6 177.9,103.1
Promedio:,15.4 24.1 18.8,84.8,,
Estacion:, Pueblo Bello,Dpto: Cesar,Latitud  :,10°,25',N
Año:, 2006,Mpio: Pueblo Bello,Longitud:,73°,34',W
"",,Altitud:,1134,m,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Enero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,12.5 25.3 17.8,81.3,0.0 0.0 0.0,9.7
2,10.5 27.0 20.2,74.3,0.0 0.0 0.0,10.6
3,12.8 24.6 18.8,93.0,4.5 0.0 4.5,3.5
4,15.3 25.2 19.6,86.7,3.2 0.0 3.2,1.1
5,15.9 23.2 19.6,88.0,0.0 0.0 0.0,2.9
6,15.5 24.3 20.1,86.0,0.0 1.5 1.5,4.9
7,16.5 25.0 19.9,85.0,2.3 0.0 2.3,6.3
8,14.5 26.0 19.4,77.3,0.0 0.0 0.0,7.1
9,10.8 26.6 17.9,74.0,0.0 0.0 0.0,10.5
10,11.4 26.9 20.2,71.7,0.0 0.0 0.0,8.9
11,12.4 27.2 20.4,76.7,0.0 0.0 0.0,7.7
12,13.9 27.3 20.4,78.3,0.0 0.0 0.0,8.1
13,13.2 27.5 20.4,79.0,0.0 0.0 0.0,9.5
14,13.6 27.8 20.5,82.3,0.0 0.0 0.0,8.7
15,16.0 26.0 20.6,89.7,0.6 0.0 0.6,5.6
16,13.6 27.6 20.2,78.3,0.0 0.0 0.0,10.2
17,12.3 27.2 19.7,79.7,0.0 0.0 0.0,9.3
18,12.1 28.1 18.8,71.3,0.0 0.0 0.0,9.4
19,10.8 27.4 18.3,78.3,0.0 0.0 0.0,6.2
20,10.0 28.6 21.4,47.3,0.0 0.0 0.0,10.6
21,11.2 27.5 19.4,76.3,0.0 0.0 0.0,10.5
22,11.9 29.0 20.4,77.0,0.0 0.0 0.0,10.3
23,13.9 27.9 20.6,83.0,0.0 0.0 0.0,8.9
24,14.5 28.4 21.7,79.0,0.0 0.0 0.0,8.3
25,15.2 29.0 22.0,79.3,0.0 0.0 0.0,10.0
26,15.5 29.2 21.7,84.3,0.0 0.0 0.0,8.0
27,16.4 29.0 22.4,78.7,0.0 0.0 0.0,5.4
28,15.6 27.8 21.1,67.7,0.0 0.0 0.0,9.0
29,14.2 26.6 20.0,76.7,0.0 0.0 0.0,6.3
30,13.9 28.2 21.2,70.7,0.0 0.0 0.0,9.2
31,13.0 28.6 21.0,71.0,0.0 0.0 0.0,9.2
Total:,,,10.6 1.5 12.1,245.9
Promedio:,13.5 27.1 20.2,78.1,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Febrero,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,13.3 28.9 19.4,71.7,0.0 0.0 0.0,6.7
2,14.5 27.5 20.8,81.7,0.0 0.0 0.0,7.1
3,15.5 29.6 22.5,77.3,0.0 0.0 0.0,7.2
4,18.6 27.8 22.5,83.3,0.0 0.0 0.0,7.6
5,17.0 27.7 21.7,77.0,0.0 0.0 0.0,7.6
6,12.2 28.5 19.6,68.7,0.0 0.0 0.0,9.2
7,11.8 28.8 20.2,71.3,0.0 0.0 0.0,7.9
8,14.0 28.6 20.8,70.7,0.0 0.0 0.0,9.9
9,13.0 28.5 21.7,63.7,0.0 0.0 0.0,8.9
10,13.2 29.5 21.5,66.3,0.0 0.0 0.0,10.7
11,12.0 29.7 20.6,74.7,0.0 0.0 0.0,9.6
12,14.0 28.5 22.0,76.0,0.0 0.0 0.0,7.9
13,16.8 26.8 21.5,88.3,0.0 0.0 0.0,6.7
14,15.5 27.4 21.3,69.0,0.0 0.0 0.0,10.0
15,11.4 30.5 20.3,60.3,0.0 0.0 0.0,10.7
16,10.7 28.6 20.8,70.3,0.0 0.0 0.0,9.9
17,14.5 28.5 22.3,74.0,0.0 0.0 0.0,7.5
18,18.0 29.5 22.0,77.3,0.2 0.0 0.2,7.9
19,13.8 27.5 21.1,63.0,0.0 0.0 0.0,10.0
20,10.3 29.6 20.3,60.0,0.0 0.0 0.0,10.6
21,12.0 30.2 21.4,66.3,0.0 0.0 0.0,10.4
22,12.8 29.9 22.2,61.0,0.0 0.0 0.0,10.6
23,14.3 29.5 20.4,75.3,0.0 0.0 0.0,10.5
24,10.0 29.0 20.3,69.0,0.0 0.0 0.0,10.2
25,11.2 29.2 21.0,66.7,0.0 0.0 0.0,10.4
26,11.5 30.5 21.6,67.3,0.0 0.0 0.0,9.2
27,15.5 27.0 21.4,79.0,0.0 0.0 0.0,5.0
28,13.6 28.3 21.1,71.7,0.0 0.0 0.0,9.3
29,,,,
30,,,,
31,,,,
Total:,,,0.2 0.0 0.2,249.2
Promedio:,13.6 28.8 21.2,71.5,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Marzo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,14.0 30.8 22.7,71.3,0.0 0.0 0.0,8.4
2,16.4 30.6 23.5,73.7,0.0 0.0 0.0,7.5
3,17.4 29.5 21.3,84.3,0.5 0.0 0.5,5.0
4,17.2 28.0 21.0,87.0,0.0 0.0 0.0,3.4
5,15.2 29.8 21.0,78.3,0.0 0.0 0.0,7.6
6,16.8 29.0 21.8,76.0,0.0 0.0 0.0,7.8
7,17.6 26.2 20.8,84.3,0.5 0.0 0.5,2.9
8,16.7 26.4 20.3,85.3,0.5 0.0 0.5,2.4
9,15.3 28.5 20.6,80.7,1.5 0.0 1.5,8.1
10,14.2 28.0 21.2,72.7,0.0 0.0 0.0,8.6
11,13.4 29.4 22.1,63.3,0.0 0.0 0.0,9.0
12,11.8 29.6 21.4,63.3,0.0 0.0 0.0,8.2
13,12.3 29.2 21.5,63.7,0.0 0.0 0.0,9.3
14,13.0 28.8 20.6,71.7,0.0 0.0 0.0,6.3
15,13.5 28.7 21.8,71.3,0.0 0.0 0.0,7.2
16,14.3 30.0 22.5,69.3,0.0 0.0 0.0,8.2
17,15.2 28.1 21.7,71.3,0.0 0.0 0.0,6.1
18,16.9 29.0 21.5,76.3,0.0 0.0 0.0,5.8
19,13.5 29.6 21.6,71.7,0.0 0.0 0.0,8.4
20,14.4 29.5 22.4,75.3,0.0 0.0 0.0,7.5
21,14.5 28.6 22.2,70.3,0.0 0.0 0.0,6.5
22,15.6 29.6 20.2,84.0,15.5 1.7 17.2,4.8
23,17.4 26.0 21.0,88.3,16.5 0.0 16.5,1.2
24,18.4 26.1 20.7,88.0,42.6 1.9 44.5,4.4
25,18.0 26.2 20.6,93.7,2.2 0.0 2.2,4.3
26,17.9 25.6 20.5,89.3,2.5 0.0 2.5,1.1
27,16.0 27.8 21.5,84.3,1.5 0.2 1.7,5.3
28,16.5 26.5 20.8,89.3,9.8 0.0 9.8,3.7
29,15.2 30.6 21.6,82.3,5.8 0.0 5.8,8.1
30,16.0 28.5 21.2,82.0,0.0 0.0 0.0,7.1
31,14.0 27.3 21.1,82.7,0.0 0.0 0.0,5.1
Total:,,,99.4 3.8 103.2,189.3
Promedio:,15.4 28.4 21.4,78.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Abril,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.0 28.7 21.1,80.7,0.0 0.0 0.0,7.4
2,16.7 26.5 21.2,86.7,0.0 0.0 0.0,5.7
3,16.8 26.4 20.6,86.0,7.3 0.0 7.3,3.5
4,17.0 27.0 21.8,83.3,0.0 15.8 15.8,7.7
5,17.3 24.2 20.0,92.3,0.0 0.0 0.0,2.9
6,16.5 25.7 21.1,89.3,0.0 0.0 0.0,6.4
7,16.0 25.5 20.4,85.0,0.0 0.0 0.0,3.7
8,15.6 26.4 22.0,78.7,0.0 0.0 0.0,5.6
9,15.8 25.7 19.5,95.3,2.5 0.0 2.5,3.7
10,14.6 26.9 19.8,86.3,5.7 0.0 5.7,5.5
11,14.8 27.3 20.5,84.7,0.0 0.0 0.0,5.0
12,15.4 26.5 19.6,92.0,7.1 4.8 11.9,4.3
13,16.7 24.0 19.6,95.0,18.1 0.2 18.3,2.4
14,17.4 23.9 19.6,95.7,0.2 0.0 0.2,3.3
15,15.8 24.5 20.2,92.3,0.1 0.0 0.1,6.1
16,15.0 25.7 20.3,91.3,13.7 0.0 13.7,4.4
17,16.5 27.3 21.8,88.3,0.0 1.0 1.0,9.1
18,18.2 27.4 21.0,89.7,11.1 2.8 13.9,5.5
19,18.0 26.6 20.8,91.0,26.7 0.0 26.7,4.3
20,16.4 28.0 21.2,87.0,14.5 0.4 14.9,8.2
21,16.5 27.5 22.8,90.3,0.0 0.0 0.0,7.5
22,15.0 29.6 22.3,81.7,0.0 0.0 0.0,10.3
23,15.8 29.0 21.8,85.7,0.0 0.0 0.0,6.5
24,19.5 26.8 21.3,90.0,1.0 0.0 1.0,4.5
25,16.2 27.3 21.6,89.3,12.0 30.0 42.0,6.2
26,18.5 25.5 20.2,92.0,50.4 6.9 57.3,0.2
27,17.0 25.8 20.9,91.0,2.5 1.7 4.2,5.5
28,18.0 24.4 20.7,92.3,6.5 4.8 11.3,1.0
29,18.6 25.6 21.3,90.7,0.4 0.0 0.4,1.5
30,18.1 25.2 21.3,92.3,0.7 35.5 36.2,3.1
31,,,,
Total:,,,180.5 103.9 284.4,151.0
Promedio:,16.6 26.4 20.9,88.9,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Mayo,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,19.4 26.6 21.4,90.0,10.2 0.0 10.2,4.6
2,16.4 25.4 20.5,93.3,10.9 14.2 25.1,1.7
3,17.3 26.3 21.6,89.7,0.0 0.0 0.0,5.0
4,17.0 26.1 21.8,89.0,0.0 1.3 1.3,4.7
5,17.6 26.4 20.4,95.7,4.3 7.4 11.7,2.1
6,18.2 26.3 20.8,91.0,33.5 25.6 59.1,4.5
7,17.5 27.0 21.0,90.0,23.1 21.9 45.0,4.5
8,17.8 25.5 20.4,93.7,4.0 0.0 4.0,3.7
9,18.6 26.0 21.7,90.7,0.0 0.0 0.0,5.8
10,18.0 25.7 20.0,97.7,3.4 0.0 3.4,1.5
11,15.9 26.2 20.1,96.7,5.8 1.2 7.0,5.4
12,15.5 25.4 21.3,90.7,1.0 0.0 1.0,7.2
13,16.4 26.7 20.5,95.0,2.4 0.0 2.4,6.1
14,16.7 27.6 22.2,89.7,0.0 0.0 0.0,5.8
15,16.5 28.6 21.6,86.7,6.9 0.0 6.9,6.8
16,18.3 27.5 21.9,91.7,0.0 9.3 9.3,4.4
17,18.2 25.8 21.1,91.7,1.1 0.9 2.0,2.8
18,18.5 26.5 21.5,94.7,0.0 10.3 10.3,4.0
19,16.8 26.6 21.2,93.3,0.8 0.1 0.9,7.2
20,17.2 26.8 21.8,92.3,0.0 0.0 0.0,8.8
21,12.8 27.3 21.2,87.0,0.0 0.0 0.0,10.3
22,14.9 28.4 21.6,86.0,0.0 0.0 0.0,10.2
23,15.7 28.6 22.2,84.7,0.0 0.0 0.0,10.1
24,16.5 27.3 21.7,89.7,0.0 0.0 0.0,8.3
25,16.8 26.8 22.0,89.7,0.0 0.0 0.0,9.0
26,15.3 27.5 22.0,89.0,0.0 0.0 0.0,8.5
27,17.7 27.3 22.0,89.3,6.1 1.3 7.4,7.6
28,18.0 26.9 22.9,90.7,0.0 0.4 0.4,6.6
29,18.1 25.4 21.8,91.3,0.0 15.5 15.5,0.7
30,16.0 27.4 21.7,90.0,25.0 5.7 30.7,8.9
31,16.5 27.8 21.8,89.0,0.0 0.0 0.0,4.7
Total:,,,138.5 115.1 253.6,181.5
Promedio:,17.0 26.8 21.4,91.0,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Junio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.0 26.8 20.4,91.0,42.3 1.5 43.8,1.3
2,15.7 25.4 20.3,91.7,8.5 0.0 8.5,3.4
3,16.1 25.9 21.0,94.3,1.9 0.0 1.9,8.3
4,16.8 27.2 21.0,91.3,1.0 12.4 13.4,6.5
5,17.3 26.4 21.2,93.0,0.0 6.5 6.5,6.9
6,17.7 24.6 21.0,87.3,0.0 0.4 0.4,0.8
7,18.9 23.6 20.8,95.3,6.3 8.6 14.9,1.6
8,18.9 23.9 21.0,94.3,1.7 18.1 19.8,1.3
9,18.4 26.4 21.0,92.0,4.9 6.2 11.1,4.9
10,15.0 25.1 20.1,94.3,0.0 10.5 10.5,4.8
11,18.9 26.2 20.8,92.7,1.6 0.4 2.0,5.0
12,15.2 26.4 21.3,90.7,0.0 0.0 0.0,9.7
13,15.1 27.7 21.0,87.0,0.0 0.0 0.0,10.1
14,16.5 27.2 21.2,87.7,4.4 12.8 17.2,5.3
15,16.9 26.1 20.7,92.3,5.5 0.0 5.5,6.6
16,15.4 26.0 21.8,90.0,0.0 0.0 0.0,7.8
17,15.2 28.5 21.3,85.7,38.8 0.0 38.8,7.4
18,16.0 27.6 22.6,88.3,0.0 0.0 0.0,7.9
19,19.5 27.0 22.6,89.7,0.0 0.0 0.0,8.4
20,15.8 27.6 22.4,89.7,0.0 0.0 0.0,8.3
21,19.0 27.2 22.0,84.7,1.9 0.1 2.0,3.4
22,16.4 27.7 22.6,86.3,0.0 7.5 7.5,8.4
23,16.8 28.3 21.9,88.3,0.0 16.5 16.5,7.2
24,16.3 27.4 22.2,83.7,0.0 0.0 0.0,4.1
25,19.0 27.2 22.0,91.0,0.0 11.0 11.0,5.2
26,18.4 28.6 23.6,86.0,0.0 0.0 0.0,6.7
27,17.5 28.5 23.4,90.3,0.0 0.0 0.0,8.0
28,18.0 28.4 22.6,86.0,0.0 0.0 0.0,8.0
29,17.2 29.2 22.5,85.0,0.0 0.0 0.0,8.3
30,16.3 30.0 23.6,81.0,0.0 0.0 0.0,10.5
31,,,,
Total:,,,118.8 112.5 231.3,186.1
Promedio:,17.0 26.9 21.7,89.4,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Julio,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,17.3 29.4 22.8,84.7,0.0 0.0 0.0,8.8
2,16.6 29.6 23.0,85.0,0.0 0.0 0.0,7.7
3,16.4 29.3 21.8,84.0,1.5 0.0 1.5,7.8
4,18.0 28.1 21.3,90.7,0.0 0.0 0.0,5.3
5,17.9 27.3 22.6,87.7,0.0 0.0 0.0,3.6
6,16.3 29.5 22.1,79.0,0.0 0.0 0.0,9.4
7,15.3 29.0 23.2,80.7,0.0 0.0 0.0,8.2
8,17.7 27.0 21.6,88.0,11.4 0.0 11.4,2.2
9,17.2 29.4 22.8,84.3,0.0 0.0 0.0,6.5
10,16.7 28.5 22.4,85.7,0.0 0.0 0.0,7.9
11,17.3 29.5 21.6,85.7,0.0 0.0 0.0,5.1
12,15.9 27.0 21.8,82.3,0.0 0.0 0.0,5.7
13,16.5 26.8 21.8,87.7,0.0 0.0 0.0,4.1
14,17.7 25.3 19.6,94.7,51.7 0.8 52.5,0.8
15,17.8 26.6 21.4,86.3,0.8 5.1 5.9,5.7
16,16.8 26.3 21.6,91.0,0.0 0.0 0.0,3.1
17,18.0 27.6 20.5,94.0,4.8 0.0 4.8,3.7
18,17.5 27.2 21.0,87.3,4.4 0.0 4.4,6.2
19,15.5 29.0 22.0,87.7,0.0 0.0 0.0,7.1
20,17.0 28.2 19.7,94.0,14.0 0.0 14.0,3.5
21,15.0 27.4 21.4,86.0,0.0 0.0 0.0,9.4
22,14.4 26.0 21.6,86.0,0.0 0.0 0.0,2.9
23,16.5 26.6 21.3,91.7,0.0 0.0 0.0,1.3
24,15.0 31.3 21.8,61.0,0.0 0.0 0.0,10.5
25,14.9 29.1 22.0,66.7,0.0 0.0 0.0,10.3
26,13.6 28.6 20.2,83.7,10.8 3.9 14.7,7.1
27,17.9 23.1 19.4,94.0,1.3 0.0 1.3,0.0
28,18.4 23.8 19.6,95.0,20.7 4.5 25.2,0.4
29,16.5 25.8 20.4,88.7,0.5 0.0 0.5,6.3
30,16.7 27.0 20.5,89.7,0.0 20.3 20.3,7.1
31,15.2 27.1 20.9,87.7,0.0 0.0 0.0,8.3
Total:,,,121.9 34.6 156.5,176.0
Promedio:,16.6 27.6 21.4,86.2,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Agosto,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.4 28.4 21.7,84.0,0.0 0.0 0.0,8.7
2,17.5 30.5 23.0,76.3,0.0 0.0 0.0,8.9
3,17.0 26.7 21.6,88.0,0.0 0.0 0.0,8.7
4,17.2 29.0 21.6,83.0,1.6 35.5 37.1,6.3
5,15.3 27.9 20.7,88.7,0.0 15.7 15.7,7.5
6,15.4 28.5 22.4,86.7,0.0 0.0 0.0,8.0
7,16.5 26.9 21.3,88.0,0.0 0.0 0.0,5.2
8,16.5 29.5 22.1,80.3,0.0 0.0 0.0,10.1
9,16.4 26.8 22.7,85.3,0.0 11.4 11.4,5.3
10,17.4 27.7 20.8,89.7,7.5 0.0 7.5,7.9
11,16.5 28.2 21.3,86.3,0.0 0.0 0.0,6.8
12,15.7 28.6 22.6,85.3,0.0 0.0 0.0,10.0
13,16.6 29.2 23.2,78.0,0.0 0.0 0.0,8.8
14,17.0 29.0 23.0,84.3,0.0 0.0 0.0,6.9
15,18.1 27.0 22.7,90.7,0.0 0.0 0.0,1.8
16,19.6 26.7 23.0,88.7,0.0 12.2 12.2,4.9
17,17.5 26.3 20.0,94.0,6.4 0.2 6.6,2.7
18,15.4 25.7 20.6,92.7,0.1 0.3 0.4,1.7
19,19.0 27.3 21.5,89.0,1.4 1.0 2.4,5.5
20,16.6 28.9 22.7,80.0,0.0 0.0 0.0,8.8
21,16.8 26.4 20.6,92.0,10.9 0.0 10.9,7.7
22,15.2 27.5 21.7,84.3,0.0 0.0 0.0,7.1
23,18.0 27.6 22.1,89.0,0.0 0.0 0.0,7.1
24,17.7 25.8 20.1,91.3,110.4 0.0 110.4,2.9
25,16.0 26.2 19.4,91.0,58.0 2.0 60.0,5.7
26,16.1 25.5 20.6,89.0,0.0 0.8 0.8,5.4
27,17.8 28.5 22.1,84.7,0.0 0.0 0.0,4.5
28,16.5 27.0 22.0,87.7,0.6 21.2 21.8,6.9
29,18.4 27.8 22.8,88.0,0.0 45.8 45.8,6.4
30,18.8 27.4 22.2,86.3,0.0 4.5 4.5,5.4
31,15.9 27.6 20.6,84.3,8.5 0.0 8.5,4.3
Total:,,,205.4 150.6 356.0,197.9
Promedio:,16.9 27.6 21.7,86.7,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Septiembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.3 27.8 20.0,90.0,0.8 0.0 0.8,6.5
2,16.8 26.6 21.3,91.7,10.0 0.0 10.0,6.2
3,16.4 27.1 21.0,90.3,0.0 0.0 0.0,9.2
4,15.2 26.4 21.2,88.3,0.0 8.1 8.1,6.7
5,17.5 26.0 21.0,90.7,0.9 0.0 0.9,6.4
6,16.5 28.6 22.2,78.7,0.0 0.0 0.0,6.2
7,16.6 25.4 19.0,97.7,26.1 0.0 26.1,3.7
8,15.7 26.9 20.0,87.7,11.1 0.0 11.1,7.4
9,15.8 26.6 21.7,88.3,0.0 14.0 14.0,6.3
10,15.6 26.8 20.2,91.7,5.8 0.2 6.0,5.8
11,16.0 26.4 21.8,87.7,0.0 0.0 0.0,7.0
12,17.4 26.8 21.5,88.0,3.8 0.0 3.8,6.8
13,16.9 26.0 20.2,91.3,8.2 0.1 8.3,5.8
14,18.4 27.9 21.8,84.7,0.0 0.0 0.0,5.2
15,17.6 26.0 21.4,92.0,0.0 5.4 5.4,6.8
16,18.6 26.3 21.8,93.3,0.0 2.6 2.6,6.9
17,17.0 26.6 21.2,89.3,0.0 7.0 7.0,5.6
18,17.5 27.2 20.7,89.3,54.9 0.1 55.0,3.5
19,17.3 26.2 20.7,89.7,0.0 0.0 0.0,5.1
20,15.9 27.6 21.0,89.0,0.0 0.0 0.0,7.4
21,15.4 27.9 20.8,86.7,17.1 0.2 17.3,8.8
22,17.5 27.8 21.5,91.7,0.5 0.0 0.5,6.8
23,14.0 28.0 21.6,88.3,0.0 0.0 0.0,8.9
24,15.5 28.2 21.4,86.0,0.0 13.7 13.7,5.6
25,17.5 28.5 21.2,87.0,20.5 0.0 20.5,8.0
26,16.7 27.2 21.6,88.0,0.0 0.0 0.0,9.3
27,14.9 29.5 22.2,86.7,0.0 0.0 0.0,8.5
28,16.5 29.0 21.3,86.7,1.6 0.0 1.6,6.2
29,16.3 28.4 21.1,87.0,21.5 0.9 22.4,6.5
30,16.2 26.4 20.6,93.7,5.6 0.4 6.0,5.5
31,,,,
Total:,,,188.4 52.7 241.1,198.6
Promedio:,16.5 27.2 21.1,89.0,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Octubre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,15.7 26.6 20.4,92.7,34.3 0.0 34.3,6.9
2,16.0 26.3 21.4,91.3,0.5 0.0 0.5,5.5
3,18.7 26.4 21.4,87.7,0.1 0.2 0.3,0.0
4,17.8 27.2 22.0,91.7,0.0 0.0 0.0,3.8
5,16.6 27.5 21.2,89.7,0.0 0.0 0.0,6.9
6,14.9 30.4 23.2,78.0,0.0 0.0 0.0,10.2
7,17.3 28.8 22.5,87.7,0.0 0.0 0.0,7.2
8,16.6 27.3 21.0,90.0,15.8 3.1 18.9,7.3
9,16.8 26.4 21.8,87.3,0.0 0.0 0.0,0.2
10,16.6 28.3 22.8,83.7,2.2 29.0 31.2,9.1
11,17.2 26.5 20.6,97.7,2.4 1.8 4.2,4.1
12,18.0 26.4 21.5,90.0,11.7 0.3 12.0,4.6
13,17.4 26.6 21.1,91.0,0.0 1.2 1.2,5.1
14,16.8 25.6 21.4,93.0,0.5 0.3 0.8,7.6
15,17.7 25.0 21.0,90.7,0.0 0.6 0.6,3.3
16,18.0 25.7 20.9,88.7,3.5 0.5 4.0,3.9
17,17.6 23.2 19.2,97.0,13.7 0.0 13.7,1.6
18,15.4 25.1 20.2,88.3,0.5 0.0 0.5,5.1
19,17.5 25.6 20.0,94.0,1.5 0.0 1.5,5.4
20,16.7 25.0 20.3,91.7,0.0 0.0 0.0,5.0
21,14.6 25.9 20.0,92.0,0.0 0.0 0.0,7.9
22,15.5 25.4 21.0,91.7,0.1 3.4 3.5,6.1
23,18.5 26.4 21.3,88.3,1.0 0.0 1.0,6.3
24,17.0 26.9 22.0,93.3,0.0 0.0 0.0,5.5
25,17.2 26.8 22.6,90.3,0.3 0.0 0.3,8.4
26,17.6 26.4 22.4,90.7,0.0 0.0 0.0,7.8
27,17.3 26.5 20.2,92.0,14.6 0.0 14.6,7.2
28,16.0 26.4 22.3,90.0,0.0 0.0 0.0,8.4
29,17.8 25.6 20.8,93.3,6.8 0.1 6.9,3.8
30,16.3 25.1 21.0,94.0,5.0 7.5 12.5,6.9
31,18.5 25.4 21.5,91.7,7.4 0.0 7.4,5.5
Total:,,,121.9 48.0 169.9,176.6
Promedio:,17.0 26.3 21.3,90.6,,
"",Temperatura (°C),Hum.,Precipitación (mm),Brillo
Noviembre,Mín. Máx. Med.,Rel.(%),Dia Noche Total,Sol.(h)
1,16.1 26.4 20.4,91.0,0.0 0.0 0.0,10.5
2,14.2 26.2 20.8,89.3,0.0 0.0 0.0,9.4
3,15.5 26.4 21.8,90.0,0.0 0.0 0.0,9.8
4,15.3 27.0 21.8,87.3,0.0 0.0 0.0,9.6
5,14.4 26.3 20.4,90.0,0.0 0.0 0.0,7.8
6,16.0 27.6 21.4,91.7,0.0 0.0 0.0,7.4
7,15.8 26.4 21.3,90.3,0.1 2.6 2.7,7.0
8,17.0 25.4 20.8,89.7,0.1 1.8 1.9,6.4
9,18.4 25.1 21.8,91.7,0.0 11.8 11.8,6.8
10,16.2 26.6 21.6,90.7,0.0 0.0 0.0,7.5
11,16.4 26.6 21.0,85.3,0.0 0.0 0.0,7.8
12,15.4 25.8 20.6,88.7,6.1 0.0 6.1,4.7
13,16.6 25.0 20.2,94.7,7.2 59.5 66.7,5.5
14,17.5 25.8 20.6,91.0,1.7 13.6 15.3,4.7
15,18.4 23.0 19.6,92.3,7.6 0.9 8.5,0.3
16,16.0 25.2 20.0,93.7,51.4 0.0 51.4,5.3
17,16.9 25.5 20.2,92.7,0.0 6.4 6.4,7.2
18,16.0 26.6 20.6,90.0,0.5 11.2 11.7,5.3
19,17.5 26.8 20.4,93.0,10.7 0.0 10.7,5.3
20,15.9 25.8 20.5,91.3,5.1 0.1 5.2,7.6
21,16.0 25.6 20.2,87.7,0.0 0.0 0.0,4.4
22,16.0 25.9 21.0,86.7,1.6 0.0 1.6,8.0
23,17.2 26.3 21.3,87.3,0.0 1.8 1.8,8.0
